ms;state;event;payload;gx;gy
535072;3;EVENT_ZOOM_OPEN;cond=100,image_idx=32,image_id=hase_033.png;0.26928422;0.46135893
401636;-1;GAZE;;0.2456192;0.43862602
401652;-1;GAZE;;0.23836099;0.4368488
401668;-1;GAZE;;0.22933476;0.421939
401684;-1;GAZE;;0.22005384;0.40641773
401699;-1;GAZE;;0.21364631;0.4022836
401716;-1;GAZE;;0.20885918;0.39776382
401739;-1;GAZE;;0.20752901;0.3996992
401763;-1;GAZE;;0.22221336;0.4349672
401779;-1;GAZE;;0.22862557;0.45381278
401795;-1;GAZE;;0.23306385;0.46591893
401810;-1;GAZE;;0.23209113;0.47914633
401826;-1;GAZE;;0.23364714;0.4789527
401842;-1;GAZE;;0.23320968;0.4829023
401857;-1;GAZE;;0.23318572;0.48393786
401874;-1;GAZE;;0.23404472;0.49701345
401893;-1;GAZE;;0.2348316;0.49042594
401905;-1;GAZE;;0.2345228;0.49820426
401937;-1;GAZE;;0.2742189;0.46213144
401953;-1;GAZE;;0.2898603;0.44491848
401985;-1;GAZE;;0.34728158;0.38907346
402001;-1;GAZE;;0.35998583;0.3761678
402049;-1;GAZE;;0.43595135;0.29926294
402064;-1;GAZE;;0.43557927;0.2966694
402080;-1;GAZE;;0.43343636;0.27373677
402096;-1;GAZE;;0.42374083;0.24965303
402111;-1;GAZE;;0.41867533;0.25666764
402127;-1;GAZE;;0.41897684;0.25631762
402143;-1;GAZE;;0.41826263;0.2531954
402159;-1;GAZE;;0.40617922;0.2579249
402175;-1;GAZE;;0.39994556;0.25438553
402191;-1;GAZE;;0.40200317;0.26486066
402207;-1;GAZE;;0.40137106;0.26458624
402222;-1;GAZE;;0.40196496;0.28328887
402238;-1;GAZE;;0.39935467;0.2824068
402254;-1;GAZE;;0.39990914;0.28307292
402270;-1;GAZE;;0.40012792;0.2842745
402286;-1;GAZE;;0.40097868;0.28323528
402301;-1;GAZE;;0.40647954;0.29490927
402317;-1;GAZE;;0.39376956;0.32407472
402340;-1;GAZE;;0.35492668;0.42927283
402364;-1;GAZE;;0.35777143;0.4488392
402380;-1;GAZE;;0.35018477;0.47931156
402396;-1;GAZE;;0.3528017;0.50782895
402412;-1;GAZE;;0.3503725;0.5028427
402428;-1;GAZE;;0.35212892;0.5112097
402444;-1;GAZE;;0.3535511;0.5199498
402460;-1;GAZE;;0.3532272;0.5275102
402490;-1;GAZE;;0.33739164;0.5364344
402506;-1;GAZE;;0.3378487;0.52036697
402522;-1;GAZE;;0.3245139;0.47511676
402538;-1;GAZE;;0.31179273;0.4515177
402554;-1;GAZE;;0.30057198;0.4310727
402570;-1;GAZE;;0.2993086;0.42683625
402586;-1;GAZE;;0.28648946;0.39915353
402602;-1;GAZE;;0.28575796;0.3988338
402619;-1;GAZE;;0.28171936;0.38371685
402643;-1;GAZE;;0.2666981;0.3530711
402667;-1;GAZE;;0.2649937;0.3497183
402683;-1;GAZE;;0.26215917;0.34459135
402699;-1;GAZE;;0.27944288;0.3955695
402714;-1;GAZE;;0.29683644;0.43530217
402730;-1;GAZE;;0.30851004;0.444266
402746;-1;GAZE;;0.32823342;0.44331542
