ms;state;event;payload;gx;gy
231348;-1;GAZE;;0.48749727;0.4138422
231378;-1;GAZE;;0.4865001;0.41115755
231410;-1;GAZE;;0.48359463;0.4171398
231442;-1;GAZE;;0.4826369;0.42005286
231458;-1;GAZE;;0.49068105;0.42486185
231494;-1;GAZE;;0.4959961;0.42692247
231536;-1;GAZE;;0.49674135;0.42479506
231552;-1;GAZE;;0.49548742;0.4243749
231584;-1;GAZE;;0.49315298;0.41920793
231600;-1;GAZE;;0.4897474;0.40031037
231616;-1;GAZE;;0.48974207;0.40004268
231646;-1;GAZE;;0.48706758;0.391935
231664;-1;GAZE;;0.48429766;0.38801417
231679;-1;GAZE;;0.47790152;0.38923413
231695;-1;GAZE;;0.47505492;0.386612
231711;-1;GAZE;;0.4748365;0.3854261
231727;-1;GAZE;;0.47558343;0.38306028
231743;-1;GAZE;;0.47645327;0.38648477
231758;-1;GAZE;;0.47749245;0.39474207
231774;-1;GAZE;;0.47756514;0.4183522
231800;-1;GAZE;;0.4792784;0.4280384
231812;-1;GAZE;;0.47910157;0.4306474
231827;-1;GAZE;;0.48155454;0.42992744
231853;-1;GAZE;;0.48177376;0.42907965
231869;-1;GAZE;;0.48089415;0.42867652
231885;-1;GAZE;;0.4771523;0.43122903
231901;-1;GAZE;;0.48022613;0.4333968
231919;-1;GAZE;;0.4901087;0.4233303
231949;-1;GAZE;;0.4919781;0.42221057
231965;-1;GAZE;;0.5007571;0.42282414
231981;-1;GAZE;;0.49871257;0.4199002
231997;-1;GAZE;;0.5026015;0.41021737
232012;-1;GAZE;;0.5042648;0.41114277
232028;-1;GAZE;;0.5051004;0.4155674
232045;-1;GAZE;;0.505449;0.41340318
232060;-1;GAZE;;0.50284714;0.42950648
232076;-1;GAZE;;0.50345725;0.4310665
232096;-1;GAZE;;0.5014262;0.41710943
232123;-1;GAZE;;0.50035876;0.40528232
232139;-1;GAZE;;0.49890366;0.40077806
232155;-1;GAZE;;0.4983759;0.40099508
232170;-1;GAZE;;0.49882886;0.40154186
232187;-1;GAZE;;0.5243988;0.42736265
232201;-1;GAZE;;0.7621698;0.7328296
232217;-1;GAZE;;0.8017791;0.79024994
232246;-1;GAZE;;0.8496305;0.84882176
232264;-1;GAZE;;0.8496498;0.8556499
232280;-1;GAZE;;0.8509613;0.87683403
232296;-1;GAZE;;0.8500878;0.8756127
232312;-1;GAZE;;0.8440214;0.8526626
232328;-1;GAZE;;0.8436481;0.8494887
232344;-1;GAZE;;0.8416065;0.8506388
232359;-1;GAZE;;0.84141463;0.8522757
232375;-1;GAZE;;0.8391998;0.85128206
232394;-1;GAZE;;0.8197305;0.838204
232412;-1;GAZE;;0.8063751;0.84771
232437;-1;GAZE;;0.52762324;0.5221997
232453;-1;GAZE;;0.5215447;0.51461285
232469;-1;GAZE;;0.48263094;0.4711706
232485;-1;GAZE;;0.4715456;0.46491146
232500;-1;GAZE;;0.47094414;0.4747766
232516;-1;GAZE;;0.4671821;0.46191177
232546;-1;GAZE;;0.46700272;0.46056423
232563;-1;GAZE;;0.46707618;0.45415947
232579;-1;GAZE;;0.46675497;0.45286536
232595;-1;GAZE;;0.46823272;0.44755745
232610;-1;GAZE;;0.47468016;0.4385147
232626;-1;GAZE;;0.4764698;0.43541542
232642;-1;GAZE;;0.48251358;0.42765236
232657;-1;GAZE;;0.48234394;0.42877173
232673;-1;GAZE;;0.48234168;0.42883268
233818;3;NAV_FWD;cond=1,set=11,animal_idx=3,animal_name=Hase,ids=hase_012.png;0.48234168;0.42883268
232696;-1;GAZE;;0.47654602;0.41745675
232720;-1;GAZE;;0.47702834;0.41342407
232736;-1;GAZE;;0.4790388;0.4164501
232752;-1;GAZE;;0.48025757;0.41287342
232768;-1;GAZE;;0.47945374;0.41064268
232783;-1;GAZE;;0.48133767;0.3985244
232798;-1;GAZE;;0.48370305;0.3941994
