ms;state;event;payload;gx;gy
384493;-1;GAZE;;0.5095393;0.35030985
384508;-1;GAZE;;0.50328344;0.35685632
384538;-1;GAZE;;0.45916393;0.38072088
384555;-1;GAZE;;0.44544372;0.37669304
384571;-1;GAZE;;0.411698;0.40186498
384587;-1;GAZE;;0.4154531;0.39118347
384603;-1;GAZE;;0.41006666;0.40066835
384619;-1;GAZE;;0.40758887;0.39959198
384634;-1;GAZE;;0.41077632;0.39091402
384650;-1;GAZE;;0.40749857;0.38926023
384666;-1;GAZE;;0.39516217;0.37605372
384687;-1;GAZE;;0.39905992;0.38327512
384713;-1;GAZE;;0.40477535;0.39464208
384729;-1;GAZE;;0.40645474;0.3926541
384744;-1;GAZE;;0.40639943;0.39518294
384760;-1;GAZE;;0.4075254;0.4059782
384776;-1;GAZE;;0.40783972;0.40469342
384807;-1;GAZE;;0.41088468;0.39393824
384838;-1;GAZE;;0.41231441;0.38176686
384854;-1;GAZE;;0.40910733;0.36944187
384870;-1;GAZE;;0.4110487;0.3766805
384886;-1;GAZE;;0.4108369;0.37209168
384902;-1;GAZE;;0.41957065;0.3848542
384918;-1;GAZE;;0.438342;0.40048662
384934;-1;GAZE;;0.44514033;0.4084347
384950;-1;GAZE;;0.46056798;0.4238331
384966;-1;GAZE;;0.46213973;0.42566693
384988;-1;GAZE;;0.47167116;0.4319691
385013;-1;GAZE;;0.47361293;0.43605784
385029;-1;GAZE;;0.46873948;0.43395522
385045;-1;GAZE;;0.46943516;0.4355505
385061;-1;GAZE;;0.47248065;0.4339406
385077;-1;GAZE;;0.4878934;0.43089396
385092;-1;GAZE;;0.4860707;0.4318368
385123;-1;GAZE;;0.4903112;0.41437116
385139;-1;GAZE;;0.5052637;0.3912001
385154;-1;GAZE;;0.50547934;0.38637727
385170;-1;GAZE;;0.50684327;0.38196683
385186;-1;GAZE;;0.51057804;0.37774533
385202;-1;GAZE;;0.5146166;0.3645746
385218;-1;GAZE;;0.5164034;0.35134277
385234;-1;GAZE;;0.5194898;0.34063643
385250;-1;GAZE;;0.5215017;0.336571
385266;-1;GAZE;;0.523007;0.33211854
385288;-1;GAZE;;0.5206115;0.32709602
385313;-1;GAZE;;0.51367927;0.31946254
385329;-1;GAZE;;0.513519;0.31930587
385345;-1;GAZE;;0.52308214;0.3280918
385361;-1;GAZE;;0.5214081;0.32762116
385377;-1;GAZE;;0.5259812;0.33121818
386623;3;NAV_FWD;cond=1,set=3,animal_idx=0,animal_name=Katze,ids=katze_004.png;0.5259812;0.33121818
385393;-1;GAZE;;0.5218246;0.31848606
385393;-1;GAZE;;0.51879966;0.3159261
385409;-1;GAZE;;0.518845;0.3152458
385438;-1;GAZE;;0.5147423;0.3184609
385456;-1;GAZE;;0.51557124;0.32067683
385472;-1;GAZE;;0.51580536;0.3266919
385488;-1;GAZE;;0.52146286;0.3372517
