Modus;Bildname;Anzahl_Betrachtungen;Dauer_ms;Fixationen_Anzahl;Fixationen_Dauer_Summe
1;hase_001.png;5;2502;6;1859
1;hase_002.png;1;3500;6;3266
1;hase_003.png;2;3110;6;2669
1;hase_004.png;1;1977;3;1918
1;hase_005.png;2;2257;5;2033
1;hase_006.png;1;1891;4;1827
1;hase_007.png;1;1386;1;1145
1;hase_008.png;3;3108;5;2622
1;hase_009.png;2;2575;3;2490
1;hase_010.png;2;2655;3;2607
1;hase_011.png;2;3372;2;3315
1;hase_012.png;2;3009;5;2930
1;hase_013.png;3;2647;4;2216
1;hase_014.png;3;2845;5;2529
1;hase_015.png;2;2692;3;2619
1;hase_016.png;2;3018;6;2817
16;;2,125;2659;4,1875;2428,875
;;;;;
4;katze_001.png;3;992;3;833
4;katze_002.png;2;906;3;845
4;katze_003.png;3;1505;3;1299
4;katze_004.png;6;1910;4;1271
4;katze_005.png;2;1934;1;1842
4;katze_006.png;1;1096;1;1064
4;katze_007.png;1;381;1;302
4;katze_008.jpeg;1;365;1;301
4;katze_009.png;3;2469;4;2265
4;katze_010.png;1;811;1;764
4;katze_011.png;1;378;2;331
4;katze_012.png;2;908;2;812
4;katze_013.jpeg;3;2618;6;2245
4;katze_015.jpg;2;492;1;341
4;katze_016.png;1;525;1;477
4;katze_017.png;1;603;1;459
4;katze_018.png;3;1349;4;1118
4;katze_019.jpeg;3;1017;1;586
4;katze_020.png;1;445;1;397
4;katze_021.jpg;2;1233;1;985
4;katze_022.png;3;1738;3;1637
4;katze_023.jpg;2;1062;2;982
4;katze_024.jpeg;1;273;1;222
4;katze_025.png;1;426;1;333
4;katze_026.jpeg;3;806;3;649
4;katze_027.png;4;949;3;705
4;katze_028.jpg;2;811;2;779
4;katze_029.png;2;586;2;470
4;katze_030.png;2;665;2;461
4;katze_031.png;2;1141;2;1031
4;katze_032.png;1;412;1;369
4;katze_033.png;1;266;1;250
4;katze_034.png;3;1410;2;1180
4;katze_035.png;2;682;1;444
4;katze_036.png;1;254;1;238
4;katze_037.png;1;383;1;304
4;katze_038.png;2;1030;2;839
4;katze_039.png;1;377;1;301
4;katze_040.png;2;617;2;554
4;katze_041.png;1;270;1;174
4;katze_042.png;2;635;1;414
4;katze_043.png;1;350;1;272
4;katze_044.png;2;731;1;694
4;katze_045.png;2;572;2;494
4;katze_046.png;1;350;1;270
4;katze_047.png;2;635;1;461
4;katze_048.png;1;365;1;349
4;katze_049.png;3;613;1;374
4;katze_050.png;1;650;1;587
4;katze_051.png;3;930;1;492
4;katze_052.png;1;332;1;316
4;katze_053.png;1;395;1;363
4;katze_054.png;3;1126;2;555
4;katze_055.png;5;4812;7;4458
4;katze_056.png;4;278;0;0
4;katze_057.png;2;302;1;254
4;katze_058.png;2;696;1;207
4;katze_059.png;5;1274;2;899
4;katze_060.png;1;253;1;158
4;katze_061.png;2;758;2;666
4;katze_062.png;1;344;1;234
4;katze_063.png;2;857;2;765
4;katze_064.png;2;529;2;411
4;katze_065.png;1;301;1;229
64;;2,015625;846,609375;1,734375;693,453125
;;;;;
20;hund_001.png;1;585;1;569
20;hund_002.png;2;901;2;822
20;hund_003.png;4;2353;4;2077
20;hund_004.png;2;380;1;348
20;hund_005.png;1;380;1;364
20;hund_006.png;1;206;1;174
20;hund_007.png;2;1059;2;1013
20;hund_008.png;4;1232;3;1104
20;hund_009.png;3;1349;2;1301
20;hund_010.png;1;715;1;699
20;hund_011.png;1;903;1;887
20;hund_012.png;3;315;0;0
20;hund_013.png;4;1409;2;1236
20;hund_014.png;1;443;1;316
20;hund_015.png;2;668;1;636
20;hund_016.png;1;435;1;364
20;hund_017.png;4;939;1;630
20;hund_018.png;5;1290;2;1159
20;hund_019.png;2;1269;2;1189
20;hund_020.png;2;1798;2;1766
