Modus;Bildname;Anzahl_Betrachtungen;Dauer_ms;Fixationen_Anzahl;Fixationen_Dauer_Summe
1;katze_001.png;4;1974;3;1625
1;katze_002.png;1;1640;1;1624
1;katze_003.png;2;1135;1;978
1;katze_004.png;3;1959;2;1769
1;katze_005.png;1;1118;1;1103
1;katze_006.png;1;1176;1;1160
1;katze_007.png;1;1094;1;1078
1;katze_008.jpeg;1;1277;1;1246
1;katze_009.png;3;1837;2;1201
9;;1,888888889;1467,777778;1,444444444;1309,333333
;;;;;
4;hund_001.png;7;1601;3;1247
4;hund_002.png;3;1041;2;805
4;hund_003.png;13;2596;5;1830
4;hund_004.png;9;1886;3;1208
4;;8;1781;3,25;1272,5
;;;;;
20;pferd_002.png;3;190;0;0
20;pferd_003.png;13;2487;4;1361
20;pferd_004.png;3;336;1;222
20;pferd_005.png;1;32;0;0
20;pferd_006.png;1;313;1;297
20;pferd_008.png;8;424;0;0
20;pferd_013.png;5;376;1;152
20;pferd_018.png;4;537;1;284
8;;4,75;586,875;1;289,5
;;;;;
100;hase_001.png;1;158;0;0
100;hase_002.png;1;48;0;0
100;hase_003.png;2;380;1;238
100;hase_005.png;1;63;0;0
100;hase_022.png;2;974;2;941
100;hase_023.png;1;56;0;0
100;hase_025.png;1;46;0;0
100;hase_026.png;2;364;1;332
100;hase_032.png;2;395;1;316
100;hase_033.png;1;222;1;206
100;hase_034.png;1;206;1;186
100;hase_035.png;1;177;0;0
100;hase_036.png;1;16;0;0
100;hase_037.png;2;34;0;0
100;hase_038.png;1;141;0;0
100;hase_042.png;3;96;0;0
100;hase_044.png;1;64;0;0
100;hase_045.png;1;410;1;394
100;hase_047.png;2;141;0;0
100;hase_052.png;1;222;1;186
100;hase_055.png;3;185;0;0
100;hase_056.png;1;95;0;0
100;hase_057.png;1;335;1;319
100;hase_059.png;2;73;0;0
100;hase_060.png;2;110;0;0
100;hase_062.png;1;31;0;0
100;hase_064.png;1;32;0;0
100;hase_065.png;3;212;0;0
100;hase_066.png;1;142;0;0
100;hase_067.png;1;16;0;0
100;hase_068.png;2;63;0;0
100;hase_069.png;6;542;1;212
100;hase_070.png;3;180;0;0
100;hase_072.png;3;186;0;0
100;hase_076.png;2;526;1;484
100;hase_077.png;1;16;0;0
100;hase_080.png;4;237;0;0
100;hase_082.png;4;436;1;331
100;hase_083.png;2;176;0;0
100;hase_084.png;4;204;0;0
100;hase_085.png;6;314;0;0
100;hase_086.png;4;123;0;0
100;hase_088.png;1;17;0;0
100;hase_089.png;3;143;0;0
100;hase_090.png;4;127;0;0
100;hase_091.png;1;96;0;0
100;hase_092.png;4;586;1;268
100;hase_093.png;7;786;2;397
100;hase_094.png;4;316;1;238
100;hase_095.png;9;1934;4;1621
100;hase_096.png;5;1222;3;1016
100;hase_098.png;1;16;0;0
100;hase_099.png;3;253;0;0
100;hase_100.png;2;111;0;0
54;;2,388888889;260,2592593;0,444444444;142,3148148
