Modus;Bildname;Anzahl_Betrachtungen;Dauer_ms;Fixationen_Anzahl;Fixationen_Dauer_Summe
1;pferd_001.png;6;5040;11;3965
1;pferd_002.png;4;3781;8;3226
1;pferd_003.png;10;9669;13;7964
3;;6,666666667;6163,333333;10,66666667;5051,666667
;;;;;
4;hase_001.png;12;4151;11;3356
4;hase_002.png;5;3751;8;2640
4;hase_003.png;12;5922;8;4668
4;hase_004.png;7;1162;3;675
4;;9;3746,5;7,5;2834,75
;;;;;
20;katze_001.png;2;473;2;442
20;katze_002.png;6;2710;4;2499
20;katze_003.png;7;960;2;462
20;katze_004.png;1;204;1;188
20;katze_005.png;1;282;1;266
20;katze_006.png;1;363;1;347
20;katze_007.png;5;996;2;838
20;katze_008.png;9;2554;4;2016
20;katze_010.png;1;390;1;366
20;katze_012.png;1;301;1;285
20;katze_013.png;2;143;0;0
20;katze_014.png;2;784;2;735
20;katze_015.png;2;417;1;378
20;katze_016.png;1;599;1;537
20;katze_017.png;2;834;2;789
20;katze_018.png;2;572;1;429
20;katze_019.png;1;347;1;332
20;katze_020.png;1;426;1;408
18;;2,611111111;741,9444444;1,555555556;628,7222222
;;;;;
100;hund_001.png;8;1301;2;641
100;hund_002.png;5;227;0;0
100;hund_005.png;2;79;0;0
100;hund_006.png;4;202;0;0
100;hund_011.png;2;535;1;409
100;hund_012.png;5;847;2;632
100;hund_013.png;3;88;0;0
100;hund_014.png;4;220;1;158
100;hund_015.png;7;974;3;746
100;hund_016.png;6;923;1;723
100;hund_017.png;1;40;0;0
100;hund_021.png;1;428;1;412
100;hund_022.png;7;1023;4;773
100;hund_023.png;4;445;1;287
100;hund_024.png;2;286;1;229
100;hund_025.png;5;319;1;177
100;hund_026.png;7;537;1;216
100;hund_027.png;6;1039;2;496
100;hund_029.png;2;920;1;888
100;hund_030.png;1;421;1;405
100;hund_031.png;1;175;1;159
100;hund_032.png;6;1157;4;934
100;hund_033.png;5;545;1;205
100;hund_034.png;2;346;1;174
100;hund_035.png;3;172;0;0
100;hund_036.png;10;2244;6;1956
100;hund_037.png;3;837;2;616
100;hund_038.png;2;249;1;233
100;hund_039.png;2;45;0;0
100;hund_041.png;2;397;1;303
100;hund_042.png;3;457;1;158
100;hund_043.png;1;63;0;0
100;hund_045.png;3;1036;2;910
100;hund_046.png;5;948;2;557
100;hund_047.png;2;94;0;0
100;hund_048.png;2;47;0;0
100;hund_051.png;1;16;0;0
100;hund_052.png;2;79;0;0
100;hund_053.png;2;533;2;499
100;hund_054.png;2;471;1;314
100;hund_055.png;3;158;0;0
100;hund_056.png;1;80;0;0
100;hund_057.png;1;16;0;0
100;hund_058.png;3;516;2;469
100;hund_059.png;2;359;1;327
100;hund_060.png;1;671;1;656
100;hund_063.png;1;177;0;0
100;hund_064.png;3;710;2;663
100;hund_065.png;2;166;0;0
100;hund_068.png;1;489;1;474
100;hund_069.png;2;206;0;0
100;hund_070.png;2;805;2;768
100;hund_071.png;3;522;1;319
100;hund_072.png;1;187;1;172
100;hund_075.png;2;740;2;691
100;hund_076.png;1;18;0;0
100;hund_078.png;1;206;1;191
100;hund_079.png;2;63;0;0
100;hund_080.png;2;395;1;300
100;hund_081.png;1;188;1;172
100;hund_082.png;4;154;0;0
100;hund_084.png;1;16;0;0
100;hund_085.png;1;39;0;0
100;hund_086.png;5;983;1;491
100;hund_087.png;3;547;1;403
100;hund_088.png;3;712;2;596
100;hund_089.png;1;15;0;0
100;hund_090.png;1;331;1;299
100;hund_091.png;1;312;1;296
100;hund_092.png;6;295;0;0
100;hund_093.png;1;32;0;0
100;hund_096.png;3;552;1;487
100;hund_097.png;1;79;0;0
100;hund_098.png;2;327;1;156
74;;2,824324324;430,1486486;0,972972973;299,1891892
