Modus;Bildname;Anzahl_Betrachtungen;Dauer_ms;Fixationen_Anzahl;Fixationen_Dauer_Summe
1;hase_001.png;4;1190;2;534
1;hase_002.png;2;1226;2;1014
1;hase_003.png;2;2011;3;1635
1;hase_004.png;4;3326;4;2758
1;hase_005.png;2;2300;3;1893


4;katze_001.png;4;2451;6;2004
4;katze_002.png;5;1729;3;1123
4;katze_003.png;7;2642;7;1945
4;katze_004.png;14;4989;11;3734
4;katze_005.png;3;1715;5;1622
4;katze_006.png;3;1188;3;984
4;katze_007.png;6;1914;5;1600
4;katze_008.jpeg;8;2958;5;2563
4;katze_009.png;6;3891;11;3134
4;katze_010.png;3;1313;3;1054
4;katze_011.png;5;1481;4;1378
4;katze_012.png;5;1657;4;1151
4;katze_013.jpeg;3;1763;5;1374
4;katze_015.jpg;3;720;2;601
4;katze_016.png;2;977;3;881
4;katze_017.png;4;1733;4;1553
4;katze_018.png;2;430;1;223
4;katze_019.jpeg;3;1596;3;1342
4;katze_020.png;4;1197;2;762
4;katze_021.jpg;7;2345;4;1820
4;katze_022.png;2;726;2;598
4;katze_023.jpg;2;1266;2;1200
4;katze_024.jpeg;3;1313;3;958
4;katze_025.png;3;1072;2;1026
4;katze_026.jpeg;3;1199;2;840
4;katze_027.png;1;920;3;629
4;katze_028.jpg;3;1088;2;965
4;katze_029.png;2;920;2;835
4;katze_030.png;1;606;1;474
4;katze_031.png;1;336;1;304
4;katze_032.png;2;1215;2;532
4;katze_033.png;2;1714;3;1648
4;katze_034.png;2;953;2;647
4;katze_035.png;1;758;1;572
4;katze_036.png;3;950;4;839
4;katze_037.png;2;885;1;364
4;katze_038.png;2;1283;2;1061
4;katze_039.png;2;1044;2;872
4;katze_040.png;2;695;1;393
4;katze_041.png;2;1217;3;1123
4;katze_042.png;3;204;0;0
4;katze_043.png;7;1881;5;1388
4;katze_044.png;3;751;2;594
4;katze_045.png;7;1925;4;1388
4;katze_046.png;3;363;1;300
4;katze_047.png;2;796;1;697
4;katze_048.png;3;1582;3;1288
4;katze_049.png;2;647;2;443
4;katze_050.png;5;3423;8;2612
4;katze_051.png;3;782;3;609
4;katze_052.png;9;1919;5;1376
4;katze_053.png;7;1627;5;1113
4;katze_054.png;1;490;1;474
4;katze_055.png;1;805;2;765
4;katze_056.png;2;694;2;596
4;katze_057.png;3;1206;1;743
4;katze_058.png;1;713;1;697
4;katze_059.png;1;318;1;302
4;katze_060.png;1;746;2;541
4;katze_061.png;2;709;2;540
4;katze_062.png;1;232;1;174
4;katze_063.png;1;387;1;371
4;katze_064.png;3;1603;3;1263
4;katze_065.png;2;1038;1;475
4;katze_066.png;1;731;1;555
4;katze_067.png;1;315;1;190
4;katze_068.png;4;1019;2;795
4;katze_069.png;2;586;2;517
4;katze_070.png;3;909;2;606
4;katze_071.png;2;272;1;208
4;katze_072.png;3;1203;3;793
4;katze_073.png;2;1076;2;1046
4;katze_074.png;2;721;2;590
4;katze_075.png;2;666;1;618
4;katze_076.png;1;805;1;602
4;katze_077.png;3;878;2;571
4;katze_078.png;1;404;1;346
4;katze_079.png;1;196;1;159
4;katze_080.png;2;1122;2;852
4;katze_081.png;3;824;1;430
4;katze_082.png;2;1009;2;648
4;katze_083.png;2;143;0;0
4;katze_084.png;2;669;2;584
4;katze_085.png;2;627;1;426
4;katze_086.png;2;436;2;331
4;katze_087.png;3;1253;1;679
4;katze_088.png;2;858;2;806
4;katze_089.png;1;471;1;419
4;katze_090.png;2;1340;2;1007
4;katze_092.png;2;582;2;477
4;katze_093.png;1;782;1;751
4;katze_094.png;3;224;0;0
4;katze_095.png;2;634;1;530
4;katze_096.png;3;1463;3;1060
4;katze_097.png;3;696;2;616
4;katze_098.png;1;631;1;601
4;katze_099.png;2;795;1;254
4;katze_100.png;7;1595;3;1149
4;katze_14.png;5;2146;3;1434


20;hund_001.png;10;1664;2;746
20;hund_002.png;12;2530;4;1361
20;hund_003.png;14;2207;3;1147
20;hund_004.png;5;835;1;570
20;hund_005.png;3;364;0;0
20;hund_006.png;5;767;3;628
20;hund_007.png;6;649;0;0
20;hund_008.png;7;1065;1;396
20;hund_010.png;3;486;1;426
20;hund_011.png;6;819;2;490
20;hund_012.png;5;1122;2;501
20;hund_013.png;4;960;3;867
20;hund_014.png;4;647;1;406
20;hund_015.png;6;1046;2;551
20;hund_019.png;3;300;1;235
20;hund_020.png;7;1076;1;222
20;hund_021.png;1;301;0;0
20;hund_023.png;1;602;1;409
20;hund_024.png;1;284;0;0
20;hund_026.png;1;170;0;0
20;hund_027.png;2;350;1;191
20;hund_028.png;4;123;0;0
20;hund_032.png;2;520;1;329
20;hund_033.png;2;127;0;0
20;hund_034.png;2;556;1;521
20;hund_035.png;1;32;0;0
20;hund_036.png;2;1255;3;1057
20;hund_037.png;2;824;2;772
20;hund_038.png;2;173;0;0
20;hund_039.png;1;413;1;306
20;hund_040.png;1;476;1;460
20;hund_041.png;1;382;1;273
20;hund_043.png;7;2450;5;1675
20;hund_044.png;7;769;1;314
20;hund_045.png;9;1285;3;629
20;hund_046.png;3;1623;3;1514
20;hund_047.png;4;947;2;533
20;hund_048.png;3;298;0;0
20;hund_049.png;5;694;2;419
20;hund_050.png;12;3289;6;2608
20;hund_051.png;10;2309;4;1980
20;hund_052.png;4;1310;2;1167
20;hund_053.png;4;318;0;0
20;hund_054.png;7;2939;6;2419
20;hund_055.png;6;977;1;440
20;hund_056.png;5;337;0;0
20;hund_057.png;2;472;2;362
20;hund_058.png;2;220;0;0
20;hund_059.png;3;389;1;201
20;hund_060.png;5;1207;2;791
20;hund_061.png;1;338;1;316
20;hund_062.png;2;299;1;267


100;pferd_001.png;2;0;0;0
100;pferd_002.png;1;49;0;0
100;pferd_004.png;1;16;0;0
100;pferd_005.png;2;44;0;0
100;pferd_006.png;2;63;0;0
100;pferd_012.png;1;9;0;0
100;pferd_013.png;2;263;1;216
100;pferd_014.png;1;32;0;0
100;pferd_015.png;2;82;0;0
100;pferd_021.png;1;237;0;0
100;pferd_022.png;1;75;0;0
