Modus;Bildname;Anzahl_Betrachtungen;Dauer_ms;Fixationen_Anzahl;Fixationen_Dauer_Summe
1;hase_001.png;8;5551;9;4189
1;hase_002.png;2;2749;4;2678
1;hase_003.png;2;2222;4;2049
1;hase_004.png;2;1955;1;1827
1;hase_005.png;2;2425;2;2350
1;hase_006.png;2;1733;2;1673
1;hase_007.png;2;2905;3;2528
1;hase_008.png;3;2856;4;2436
8;;2,875;2799,5;3,625;2466,25
;;;;;
4;katze_001.png;7;2643;4;2064
4;katze_002.png;7;8076;15;7646
4;katze_003.png;7;2454;6;1975
4;katze_004.png;8;2202;5;1815
4;katze_005.png;3;1419;2;1345
4;katze_006.png;3;1915;3;1582
4;katze_007.png;1;617;1;518
4;katze_008.jpeg;1;398;1;382
4;katze_009.png;2;354;1;223
4;katze_010.png;4;1687;3;1381
4;katze_011.png;3;1130;1;840
4;katze_012.png;3;1308;4;1076
4;katze_013.jpeg;3;669;1;295
4;katze_015.jpg;4;2148;3;1886
4;katze_016.png;1;390;1;374
4;katze_017.png;1;396;1;374
4;katze_018.png;2;697;2;472
4;katze_019.jpeg;4;2197;5;1738
4;katze_020.png;1;565;1;466
4;katze_021.jpg;1;46;0;0
4;katze_022.png;1;296;1;200
4;katze_023.jpg;3;783;2;439
4;katze_024.jpeg;2;1408;4;1172
4;katze_025.png;1;436;1;421
24;;3,041666667;1426,416667;2,833333333;1195,166667
;;;;;
20;hund_001.png;6;946;3;649
20;hund_002.png;13;5765;7;4945
20;hund_003.png;9;2943;5;2219
20;hund_004.png;1;492;1;461
20;hund_005.png;1;446;1;430
20;hund_006.png;2;717;1;674
20;hund_007.png;5;2244;3;1967
20;hund_008.png;9;3384;8;3050
20;hund_009.png;9;1519;3;1009
20;hund_010.png;3;760;1;582
20;hund_011.png;4;1539;3;1118
20;hund_012.png;3;559;2;503
20;hund_013.png;8;1445;3;1124
20;hund_014.png;10;1232;3;644
20;hund_015.png;4;569;1;285
20;hund_016.png;2;150;0;0
20;hund_017.png;1;46;0;0
20;hund_018.png;4;793;1;652
20;hund_019.png;3;159;0;0
20;hund_020.png;3;973;2;742
20;hund_021.png;9;1635;1;1045
20;hund_023.png;1;296;1;281
20;hund_024.png;1;498;1;467
20;hund_025.png;2;45;0;0
20;hund_026.png;1;359;1;320
20;hund_027.png;5;960;2;778
20;hund_028.png;3;548;2;454
20;hund_029.png;4;1603;5;1419
