Modus;Bildname;Anzahl_Betrachtungen;Dauer_ms;Fixationen_Anzahl;Fixationen_Dauer_Summe
1;hund_001.png;11;3348;8;2380
1;hund_002.png;6;3179;5;2506
1;hund_003.png;1;1157;3;1008
1;hund_004.png;3;1840;3;1483
4;;5,25;2381;4,75;1844,25
;;;;;
4;pferd_001.png;3;730;1;157
4;pferd_002.png;1;445;1;287
4;pferd_003.png;4;4594;6;4140
4;pferd_004.png;1;302;1;270
4;;2,25;1517,75;2,25;1213,5
;;;;;
20;hase_001.png;1;254;1;221
20;hase_002.png;2;670;1;599
20;hase_003.png;3;1021;2;928
20;hase_004.png;1;285;1;222
20;hase_005.png;1;285;1;269
20;hase_008.png;1;475;0;0
20;hase_010.png;1;525;1;509
20;hase_011.png;2;793;2;641
20;hase_012.png;5;2940;5;2607
20;hase_013.png;5;636;1;331
20;hase_014.png;4;231;0;0
20;hase_015.png;2;489;1;427
20;hase_016.png;1;189;1;173
20;hase_017.png;1;393;1;361
20;hase_018.png;3;494;1;400
20;hase_019.png;1;418;1;346
20;hase_020.png;3;801;3;753
17;;2,176470588;641,1176471;1,352941176;516,8823529
;;;;;
100;katze_001.png;1;444;1;418
100;katze_002.png;2;588;1;414
100;katze_003.png;1;239;1;223
100;katze_004.png;1;159;0;0
100;katze_005.png;3;350;1;246
100;katze_006.png;2;644;2;539
100;katze_007.png;3;505;1;269
100;katze_008.png;2;156;0;0
100;katze_009.png;3;310;0;0
100;katze_010.png;1;16;0;0
100;katze_011.png;1;96;0;0
100;katze_012.png;1;317;1;301
100;katze_013.png;3;223;0;0
100;katze_014.png;6;727;2;522
100;katze_015.png;5;361;1;238
100;katze_016.png;2;522;1;363
100;katze_017.png;1;365;1;190
100;katze_018.png;1;48;0;0
100;katze_019.png;2;318;1;254
100;katze_020.png;2;158;0;0
100;katze_021.png;1;478;1;462
100;katze_022.png;1;32;0;0
100;katze_024.png;2;112;0;0
100;katze_025.png;4;798;2;672
100;katze_026.png;1;302;1;254
100;katze_027.png;1;509;2;477
100;katze_031.png;1;285;1;269
100;katze_032.png;1;48;0;0
100;katze_033.png;1;238;1;222
100;katze_034.png;1;207;1;191
100;katze_035.png;4;540;1;317
100;katze_036.png;2;126;0;0
100;katze_037.png;1;524;1;508
100;katze_044.png;1;431;1;414
100;katze_045.png;2;159;0;0
100;katze_046.png;3;445;1;264
100;katze_052.png;1;351;1;319
100;katze_053.png;2;239;1;207
100;katze_054.png;1;461;1;446
100;katze_062.png;1;349;1;333
100;katze_063.png;1;538;1;522
100;katze_064.png;2;317;1;286
100;katze_065.png;2;191;0;0
100;katze_066.png;1;427;1;395
100;katze_067.png;1;237;1;221
100;katze_068.png;1;254;1;224
100;katze_069.png;4;408;1;269
100;katze_070.png;4;461;1;378
100;katze_071.png;2;697;1;649
100;katze_072.png;2;332;1;284
100;katze_074.png;2;79;0;0
100;katze_075.png;2;417;1;366
100;katze_076.png;1;31;0;0
100;katze_078.png;3;265;1;187
100;katze_079.png;5;268;0;0
100;katze_080.png;3;111;0;0
100;katze_081.png;2;2955;2;2924
100;katze_084.png;1;367;1;350
100;katze_085.png;2;45;0;0
100;katze_086.png;1;16;0;0
100;katze_093.png;1;26;0;0
100;katze_095.png;3;833;1;202
62;;1,951612903;362,1774194;0,741935484;267,5645161
