Modus;Bildname;Anzahl_Betrachtungen;Dauer_ms;Fixationen_Anzahl;Fixationen_Dauer_Summe
1;pferd_001.png;6;3724;7;2822
1;pferd_002.png;2;4120;9;3265
1;pferd_003.png;1;1494;3;1357
1;pferd_004.png;2;1583;4;1393
4;;2,75;2730,25;5,75;2209,25
;;;;;
4;hase_001.png;11;3415;10;2378
4;hase_002.png;12;3290;8;2132
4;hase_003.png;10;3089;7;2511
4;hase_004.png;17;4250;8;2416
4;hase_005.png;5;3116;4;2818
4;hase_006.png;7;1408;4;1061
4;hase_007.png;3;913;2;550
4;hase_008.png;8;3206;9;2714
4;hase_009.png;7;3361;8;2612
4;hase_010.png;2;607;1;521
4;hase_011.png;9;2464;4;1781
4;hase_012.png;5;1430;6;1133
4;hase_013.png;1;393;2;347
4;hase_014.png;2;343;1;297
4;hase_016.png;3;1625;4;1272
4;hase_017.png;7;1218;3;810
4;hase_018.png;8;5269;10;4807
4;hase_019.png;6;866;2;709
4;hase_020.png;7;1295;2;783
4;hase_021.png;4;811;2;363
4;hase_022.png;5;1625;3;1444
4;hase_023.png;1;442;1;426
4;hase_024.png;1;396;1;353
4;hase_025.png;3;803;1;411
4;hase_026.png;3;1135;2;914
4;hase_027.png;2;347;1;284
4;hase_028.png;1;774;2;727
4;hase_029.png;3;601;2;347
4;hase_030.png;3;665;1;505
4;hase_031.png;7;1428;4;856
4;hase_032.png;5;505;1;380
31;;5,419354839;1648,064516;3,741935484;1247,16129
;;;;;
20;katze_001.png;4;1039;3;923
20;katze_002.png;7;665;1;300
20;katze_003.png;9;923;2;363
20;katze_004.png;1;31;0;0
20;katze_005.png;1;332;1;316
20;katze_006.png;3;289;1;174
20;katze_007.png;4;675;2;533
20;katze_008.png;9;1255;2;442
20;katze_009.png;4;1024;2;706
20;katze_010.png;1;31;0;0
20;katze_011.png;2;285;0;0
20;katze_012.png;3;320;1;243
20;katze_013.png;9;1316;2;813
20;katze_014.png;8;688;1;365
20;katze_015.png;3;380;1;316
20;katze_016.png;1;62;0;0
20;katze_017.png;1;141;0;0
20;katze_018.png;2;217;1;156
